country,year,news_count
chile,2016,196789
chile,2017,225883
chile,2018,279044
chile,2019,290053
chile,2020,303049
chile,2021,288142
chile,2022,309827
chile,2023,289468
chile,2024,214342
chile,2025,985
peru,2016,38194
peru,2017,37126
peru,2018,41668
peru,2019,52966
peru,2020,43081
peru,2021,47288
peru,2022,51746
peru,2023,53337
peru,2024,39719
mexico,2016,12580
mexico,2017,16226
mexico,2018,33686
mexico,2019,60273
mexico,2020,76726
mexico,2021,105046
mexico,2022,14130
mexico,2023,4284
mexico,2024,6407
espana,2016,16317
espana,2017,20247
espana,2018,87641
espana,2019,122969
espana,2020,135171
espana,2021,124882
espana,2022,126683
espana,2023,27287
